model_type,seed,dataset_name,split,architecture,input_dims,output_dim,hidden_dims,kernel_dim,k_lipschitz,max_epochs,patience,frequency,batch_size,clf_type,lr,loss,fisher_c,lamb1,lamb2,lambda_qx,ood_dataset_name,id_accuracy,id_max_prob_apr,id_max_prob_auroc,id_max_modified_prob_apr,id_max_modified_prob_auroc,id_max_alpha_apr,id_max_alpha_auroc,id_alpha0_apr,id_alpha0_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_prob_apr,ood_max_prob_auroc,ood_max_modified_prob_apr,ood_max_modified_prob_auroc,ood_max_alpha_apr,ood_max_alpha_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_ent_apr,ood_diff_ent_auroc,ood_mi_apr,ood_mi_auroc
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.6738,0.9238585155498961,0.7837911311810843,0.9238585126555079,0.7837911311810843,0.9488456213738476,0.8511050798863447,0.6535077498238184,0.28473572820769666,0.7740453918461414,0.49467361315023906,0.7552551776036314,0.5009591085014596,0.7492238266597274,0.6916621350000001,0.7492238308853808,0.69166214,0.7845497382024933,0.740059135,0.42557693939583,0.345782765,0.5195296177688483,0.4930795800000001,0.5002753491781458,0.50055019
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.6738,0.9238585155498961,0.7837911311810843,0.9238585126555079,0.7837911311810843,0.9488456213738476,0.8511050798863447,0.6535077498238184,0.28473572820769666,0.7740453918461414,0.49467361315023906,0.7552551776036314,0.5009591085014596,0.6944545701694418,0.619084915,0.6944545825615194,0.61908495,0.8116459085307657,0.76766577,0.49521972311889734,0.43086557499999995,0.5059644970450563,0.491495975,0.5001502752625198,0.5003005700000001
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.5243,0.896472210092272,0.691287453837982,0.896472210092272,0.691287453837982,0.9380421209828085,0.8212936312427771,0.7187692475137616,0.3832364488251827,0.7740999594730449,0.49259256835211973,0.7670534106821364,0.5004290004290004,0.6993463084811661,0.63103524,0.6993463094577711,0.631035255,0.7629669933427803,0.7358749950000001,0.4627037024561529,0.43994466500000007,0.5113515807409964,0.50381876,0.499950002500375,0.4999
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.5243,0.896472210092272,0.691287453837982,0.896472210092272,0.691287453837982,0.9380421209828085,0.8212936312427771,0.7187692475137616,0.3832364488251827,0.7740999594730449,0.49259256835211973,0.7670534106821364,0.5004290004290004,0.6751781339595375,0.56864023,0.675178134642072,0.56864023,0.8311319717161886,0.80970161,0.5793225825493172,0.56111267,0.4971333779951127,0.49907829,0.4999750037503125,0.49985003
menet,1002,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.6156,0.9201956083136257,0.7788284905858621,0.9201956083136256,0.7788284905858621,0.9439689518067544,0.8409894570166001,0.6425065295983785,0.29420456114392,0.7658809827927158,0.4884202967734989,0.7566269880964289,0.500615763546798,0.7194230437727005,0.657512585,0.7194230648140225,0.6575126250000001,0.7790425895708449,0.74657662,0.4480409032654019,0.41235932500000005,0.5099826092852161,0.49951324,0.500025003751813,0.499999995
menet,1002,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.6156,0.9201956083136257,0.7788284905858621,0.9201956083136256,0.7788284905858621,0.9439689518067544,0.8409894570166001,0.6425065295983785,0.29420456114392,0.7658809827927158,0.4884202967734989,0.7566269880964289,0.500615763546798,0.7604524197806393,0.695094225,0.7604524338475325,0.6950942400000001,0.8737811621395631,0.8430594250000001,0.45439712744042116,0.376400215,0.5205943687451969,0.5051330700000001,0.49995000500075015,0.49990001500000003
menet,1003,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.6888,0.9366180335647349,0.7590763374319386,0.9366180335647349,0.7590763374319386,0.9674012447706177,0.8656859660249497,0.753142110131399,0.3141730179765174,0.8297659965725681,0.48408238218329325,0.822025931815322,0.5014510132258614,0.7403644626403827,0.6882465600000001,0.7403644360769861,0.68824653,0.8348194263627453,0.7965204749999999,0.4457299546197059,0.36988081500000003,0.5384300469604555,0.509937715,0.49989996994742286,0.499800115
menet,1003,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.6888,0.9366180335647349,0.7590763374319386,0.9366180335647349,0.7590763374319386,0.9674012447706177,0.8656859660249497,0.753142110131399,0.3141730179765174,0.8297659965725681,0.48408238218329325,0.822025931815322,0.5014510132258614,0.6821439619237688,0.593073765,0.6821439598210152,0.59307376,0.865300944181463,0.8510733299999999,0.5374309173488028,0.493809925,0.5081265310919758,0.5056412349999999,0.4995750213778073,0.49915032000000004
menet,1004,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.449,0.853350586389672,0.7052671315118859,0.8533505996830075,0.7052671775364688,0.8553548361323986,0.7405459638534891,0.6000119459451886,0.3450698167609472,0.6933633310232052,0.49625486462582313,0.6809127699281425,0.4997160973602186,0.6841338925156504,0.658881725,0.6841338772910274,0.658881705,0.5580860779105792,0.5625791849999999,0.4058812088936972,0.352792685,0.5130087927694552,0.49502512,0.5006256072908386,0.5011493499999999
menet,1004,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.449,0.853350586389672,0.7052671315118859,0.8533505996830075,0.7052671775364688,0.8553548361323986,0.7405459638534891,0.6000119459451886,0.3450698167609472,0.6933633310232052,0.49625486462582313,0.6809127699281425,0.4997160973602186,0.7679769887694489,0.7240897,0.7679770033042483,0.7240897100000001,0.7259617825473631,0.6889095099999999,0.40317516378204427,0.30536379,0.5268465514372731,0.49708509,0.50047545937836,0.5008500499999999
