model_type,seed,dataset_name,split,architecture,input_dims,output_dim,hidden_dims,kernel_dim,k_lipschitz,max_epochs,patience,frequency,batch_size,clf_type,lr,loss,fisher_c,lamb1,lamb2,lambda_qx,use_quantum_metrics,complex_support,enable_enhanced_metrics,ood_dataset_name,id_accuracy,id_max_prob_apr,id_max_prob_auroc,id_max_modified_prob_apr,id_max_modified_prob_auroc,id_max_alpha_apr,id_max_alpha_auroc,id_alpha0_apr,id_alpha0_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,id_qx_ent_apr,id_qx_ent_auroc,id_qd_apr,id_qd_auroc,id_qn_apr,id_qn_auroc,ood_max_prob_apr,ood_max_prob_auroc,ood_max_modified_prob_apr,ood_max_modified_prob_auroc,ood_max_alpha_apr,ood_max_alpha_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_ent_apr,ood_diff_ent_auroc,ood_mi_apr,ood_mi_auroc,ood_qx_ent_apr,ood_qx_ent_auroc,ood_qd_apr,ood_qd_auroc,ood_qn_apr,ood_qn_auroc,id_qx_entropy_value,ood_qx_entropy_value,id_discord_value,ood_discord_value,id_nonspecificity_value,ood_nonspecificity_value
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9853,0.9995667046038816,0.9712507450686849,0.9995667046048021,0.971250745068685,0.9993597452012782,0.9597476870952281,0.9955800442620424,0.7330786420452929,0.9996920540282658,0.9786157079812269,0.9989154296332463,0.9327865970077603,0.9997002830782926,0.9803540618520827,0.9997002830651811,0.9803540618520827,0.9855042193012752,0.5107363964564816,0.9865422623208586,0.9832689149999999,0.9865422708449539,0.9832689050000001,0.9843330267906745,0.9813101099999999,0.8260859414082363,0.72473291,0.987238561558472,0.9840409900000001,0.9729648649485709,0.9695366249999999,0.9869541984740557,0.983776955,0.9869542472558802,0.98377699,0.5093448791752749,0.504833685,8.195222854614258,9.080232620239258,1.2647275924682617,2.149737596511841,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9853,0.9995667046038816,0.9712507450686849,0.9995667046048021,0.971250745068685,0.9993597452012782,0.9597476870952281,0.9955800442620424,0.7330786420452929,0.9996920540282658,0.9786157079812269,0.9989154296332463,0.9327865970077603,0.9997002830782926,0.9803540618520827,0.9997002830651811,0.9803540618520827,0.9855042193012752,0.5107363964564816,0.9868573846765967,0.98338499,0.986857417968871,0.98338502,0.9838401995615944,0.980521895,0.8329277957986989,0.70330073,0.9912260762461931,0.9887573100000001,0.9709412749357766,0.9656348300000002,0.9903084410189716,0.987270325,0.9903084609305497,0.987270325,0.5037987019791424,0.500386985,8.195222854614258,9.103150367736816,1.2647275924682617,2.1726558208465576,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9913,0.9998133659700223,0.9793954530855221,0.9998133552024229,0.9793942935724712,0.9996895370739134,0.9674304379132939,0.9957358873632765,0.6706229251963346,0.9998273046131234,0.9807126599113436,0.9993031097505556,0.9285102228468132,0.9998401054625017,0.9822188673644616,0.9998401054536931,0.9822188673644616,0.9913049123957687,0.49668959023968295,0.9842068656812908,0.9822569750000001,0.9842068848504719,0.98225698,0.9764541246239168,0.9753609550000001,0.6881091213027538,0.65371715,0.9892600864727104,0.9875711549999999,0.9619017945834967,0.9599640100000001,0.987528650564439,0.9854636250000002,0.9875286292882649,0.9854636050000001,0.5041863649874886,0.502391665,7.976592063903809,8.866875648498535,1.0460964441299438,1.9363806247711182,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9913,0.9998133659700223,0.9793954530855221,0.9998133552024229,0.9793942935724712,0.9996895370739134,0.9674304379132939,0.9957358873632765,0.6706229251963346,0.9998273046131234,0.9807126599113436,0.9993031097505556,0.9285102228468132,0.9998401054625017,0.9822188673644616,0.9998401054536931,0.9822188673644616,0.9913049123957687,0.49668959023968295,0.9672554834286865,0.9680056499999999,0.9672554818377459,0.9680056599999999,0.9516201015533372,0.953697655,0.6139607931857632,0.5903098950000001,0.9842751438003366,0.9832244149999999,0.9267636423946525,0.923554275,0.9807299331560686,0.97937882,0.9807299032457344,0.9793787999999999,0.4953752489123707,0.493439545,7.976592063903809,8.788204193115234,1.0460964441299438,1.8577085733413696,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9538,0.9962188604793673,0.9318500371318068,0.996218860543528,0.9318500371318069,0.9960036706432037,0.9288813307892532,0.9654046713396589,0.6034248347450772,0.9956576466758398,0.9190370362200555,0.9927092330942081,0.8723823914354202,0.9959771100183197,0.9266768651073538,0.9959771086402924,0.926676978574651,0.9536175181404268,0.49976171867553715,0.9602428856611824,0.9519627799999999,0.9602429226841358,0.9519627900000001,0.9581449995302145,0.9495077849999999,0.5341280505601539,0.542488105,0.9630558815108822,0.95598946,0.9170636758691169,0.8947571649999999,0.9614868136496154,0.9532203300000001,0.9614870187951703,0.953220395,0.4983854747969204,0.4973623299999999,8.726540565490723,9.165169715881348,1.796044945716858,2.2346742153167725,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9538,0.9962188604793673,0.9318500371318068,0.996218860543528,0.9318500371318069,0.9960036706432037,0.9288813307892532,0.9654046713396589,0.6034248347450772,0.9956576466758398,0.9190370362200555,0.9927092330942081,0.8723823914354202,0.9959771100183197,0.9266768651073538,0.9959771086402924,0.926676978574651,0.9536175181404268,0.49976171867553715,0.9055128004392169,0.9038537,0.9055128211197992,0.903853705,0.9017124827765366,0.901198155,0.6581367873623137,0.6327381799999999,0.9150649297907107,0.9100833300000001,0.8784643705720472,0.8711839800000001,0.9176690482985657,0.9141871800000001,0.9176692217424887,0.9141871799999999,0.49827609693993735,0.49844640999999995,8.726540565490723,9.127850532531738,1.796044945716858,2.197355031967163,6.93049430847168,6.93049430847168
menet,1001,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9509,0.9966208013852927,0.9393054785963104,0.9966207900713584,0.9393053683043987,0.9964728841517261,0.9376773493941886,0.9659023130537636,0.5457774300396345,0.9956343328454677,0.9215142903024292,0.9925166450138291,0.8787876448353384,0.996014399452956,0.9302485221953947,0.9960143992596753,0.930248629286565,0.9515928447624826,0.5052808797925173,0.9486817292827059,0.93827317,0.9486817100857379,0.938273175,0.9460695155532985,0.93641582,0.6053592942740076,0.55204089,0.9512521440230637,0.938670015,0.9056683040746056,0.895850875,0.9532308403428269,0.942192335,0.9532309998381119,0.9421923299999999,0.49681928268977676,0.49730344499999996,8.69997787475586,9.143636703491211,1.769483208656311,2.213141918182373,6.93049430847168,6.93049430847168
menet,1001,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9509,0.9966208013852927,0.9393054785963104,0.9966207900713584,0.9393053683043987,0.9964728841517261,0.9376773493941886,0.9659023130537636,0.5457774300396345,0.9956343328454677,0.9215142903024292,0.9925166450138291,0.8787876448353384,0.996014399452956,0.9302485221953947,0.9960143992596753,0.930248629286565,0.9515928447624826,0.5052808797925173,0.9558802316912928,0.944433125,0.9558802686500381,0.94443315,0.9586297647696913,0.9470263800000001,0.7134018488043206,0.6192690150000001,0.9446184254708048,0.9333421099999999,0.9523877933558604,0.9392058200000001,0.944482383780785,0.934462135,0.9444825589649777,0.934462155,0.49783410237683606,0.49946725999999997,8.69997787475586,9.136781692504883,1.769483208656311,2.2062859535217285,6.93049430847168,6.93049430847168
menet,1002,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9537,0.9964428951114896,0.9344481617724418,0.9964428951247866,0.9344481617724417,0.9960334207065434,0.9279538595044247,0.9655306573069566,0.5440050166586085,0.9962278721514665,0.9286505405694749,0.9906966286680686,0.8357251252141432,0.9966521189887829,0.9378728657353842,0.9966521395448786,0.9378726392671851,0.9535896167980841,0.5001539983753172,0.96412246649707,0.957054625,0.9641224309649581,0.9570545899999999,0.9605443332004694,0.95333578,0.6427282212694408,0.5490126249999999,0.9698947602394725,0.9617282100000001,0.9018472001736436,0.87490051,0.970786940801678,0.96444431,0.9707870979466752,0.9644442849999999,0.49911006848072137,0.49965086500000006,8.734559059143066,9.172295570373535,1.8040639162063599,2.2417995929718018,6.93049430847168,6.93049430847168
menet,1002,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9537,0.9964428951114896,0.9344481617724418,0.9964428951247866,0.9344481617724417,0.9960334207065434,0.9279538595044247,0.9655306573069566,0.5440050166586085,0.9962278721514665,0.9286505405694749,0.9906966286680686,0.8357251252141432,0.9966521189887829,0.9378728657353842,0.9966521395448786,0.9378726392671851,0.9535896167980841,0.5001539983753172,0.9079810219157608,0.9008546699999999,0.9079810381685087,0.9008547,0.8941600538171981,0.888478535,0.5175549289477155,0.407234815,0.9471084714005965,0.942627475,0.8040864958611426,0.7597688599999999,0.9303187469017049,0.92371614,0.9303189045006787,0.9237160600000001,0.49774255253183386,0.49680301000000004,8.734559059143066,9.13071060180664,1.8040639162063599,2.2002155780792236,6.93049430847168,6.93049430847168
menet,1003,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9486,0.9967545255057154,0.9383590732502213,0.9967545254654188,0.9383590732502213,0.9966679549408126,0.9372854959938202,0.9737682429409633,0.6169840598586982,0.9952675067569186,0.9126189308208018,0.994276261153607,0.8977127842526966,0.9956542813740918,0.925258275353152,0.9956543043432788,0.9252583779003422,0.9472428899909171,0.49462150242298497,0.9581023850455574,0.9487965300000001,0.9581023648963312,0.948796515,0.9596474355515323,0.95032566,0.7581505649370879,0.6764929449999999,0.9413477025514702,0.9292577449999999,0.9513796326064736,0.9406414150000001,0.9447109205563592,0.9361200350000001,0.9447110641539198,0.9361200199999999,0.4979001073856558,0.49736764,8.702491760253906,9.147287368774414,1.7719964981079102,2.216792583465576,6.93049430847168,6.93049430847168
menet,1003,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,2,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9486,0.9967545255057154,0.9383590732502213,0.9967545254654188,0.9383590732502213,0.9966679549408126,0.9372854959938202,0.9737682429409633,0.6169840598586982,0.9952675067569186,0.9126189308208018,0.994276261153607,0.8977127842526966,0.9956542813740918,0.925258275353152,0.9956543043432788,0.9252583779003422,0.9472428899909171,0.49462150242298497,0.9423329226340947,0.9321109949999999,0.942332905247163,0.932111,0.937581164668748,0.9284806900000001,0.6762001505793971,0.5988682500000001,0.954927001725325,0.9428059999999999,0.9033608556465501,0.8928120050000001,0.9524585046976846,0.94215144,0.9524587122280721,0.942151445,0.4989966895971008,0.50047014,8.702491760253906,9.153223037719727,1.7719964981079102,2.222728967666626,6.93049430847168,6.93049430847168
